date,open,high,low,close,volume,dividends,stock_splits,adjusted_close
2026-01-13,334.5145706345901,340.04734658205444,333.18628259299794,335.5332336425781,33517600,0.0,0.0,335.5332336425781
2026-01-14,334.62442706687915,336.08252056576845,330.0503943745689,335.4034118652344,28525600,0.0,0.0,335.4034118652344
2026-01-15,337.2110766328429,337.25103316994193,330.3100554080323,332.347412109375,28442400,0.0,0.0,332.347412109375
2026-01-16,333.97528525413946,334.2149635116852,327.27401649506595,329.5710144042969,40341600,0.0,0.0,329.5710144042969
2026-01-20,320.4528849486331,327.30398324237245,320.01345448184367,321.5814208984375,35361000,0.0,0.0,321.5814208984375
2026-01-21,320.50283121296127,332.0478012719212,318.9348648307384,327.953125,35386600,0.0,0.0,327.953125
2026-01-22,334.0152109953496,334.7142826747097,328.3226090802118,330.1102905273437,26253600,0.0,0.0,330.1102905273437
2026-01-23,332.05776231305794,333.2562145369407,327.0243361197249,327.5036926269531,27280000,0.0,0.0,327.5036926269531
2026-01-26,327.3838548641184,335.4034148973675,326.5749102768944,332.8267822265625,26042100,0.0,0.0,332.8267822265625
2026-01-27,334.93402312381306,337.4707297257924,333.04649592160257,334.1150817871094,21636200,0.0,0.0,334.1150817871094
2026-01-28,335.6231039588608,337.10119086219134,331.5084650266126,335.5731811523437,27434400,0.0,0.0,335.5731811523437
2026-01-29,339.857625711299,341.8450595994438,326.1155333080428,337.810302734375,39785600,0.0,0.0,337.810302734375
2026-01-30,339.5580079569619,339.5580079569619,331.8580393103398,337.56060791015625,31024000,0.0,0.0,337.56060791015625
2026-02-02,335.7829045969607,344.381696695552,335.193675272949,343.2431945800781,32006100,0.0,0.0,343.2431945800781
2026-02-03,346.8884575284791,348.5463032010534,337.0312933144156,339.26837158203125,36506700,0.0,0.0,339.26837158203125
2026-02-04,342.51417399710857,342.8637251238478,328.0929422734009,332.6070861816406,70618400,0.0,0.0,332.6070861816406
2026-02-05,311.81413592946416,332.2575275064077,306.0616137944584,330.81939697265625,88205800,0.0,0.0,330.81939697265625
2026-02-06,326.75466854448496,329.95052083207565,319.50412705068965,322.4402770996094,56380500,0.0,0.0,322.4402770996094
2026-02-09,320.5127991892576,327.2740180221729,316.84758707958963,323.8984069824219,39640100,0.0,0.0,323.8984069824219
2026-02-10,320.5527401483992,321.25184233940706,314.2009923012897,318.16583251953125,39170000,0.0,0.0,318.16583251953125
2026-02-11,318.5553213774315,320.6426005966259,309.25742736560915,310.55572509765625,45406400,0.0,0.0,310.55572509765625
2026-02-12,311.684307255737,315.82890653132813,306.80067966689137,308.59832763671875,47761300,0.0,0.0,308.59832763671875
2026-02-13,307.32996759040856,308.2287915112591,303.31517401115394,305.32257080078125,38499700,0.0,0.0,305.32257080078125
2026-02-17,299.6499434457439,304.0442171582303,295.86486207725466,301.6273498535156,39247600,0.0,0.0,301.6273498535156
2026-02-18,301.6972906518214,304.983022308801,300.8583862777236,302.9356689453125,28482100,0.0,0.0,302.9356689453125
2026-02-19,301.42763905495286,305.0728879320441,299.64995428739604,302.456298828125,25834400,0.0,0.0,302.456298828125
2026-02-20,303.9244103176242,316.0885697634931,303.5049428811186,314.570556640625,53210800,0.0,0.0,314.570556640625
2026-02-23,318.6352220336332,319.1046122516075,309.4671633706354,311.0850524902344,31423000,0.0,0.0,311.0850524902344
2026-02-24,310.11633870149166,311.8640638461802,305.5323089793432,310.495849609375,25615600,0.0,0.0,310.495849609375
2026-02-25,311.65435118745364,313.23231441520727,309.03776179839537,312.4932556152344,29963600,0.0,0.0,312.4932556152344
2026-02-26,312.2335794136705,312.73292940852764,301.95694798569707,306.9804077148437,36431200,0.0,0.0,306.9804077148437
2026-02-27,303.7446468483449,311.9639287272481,303.4050620118916,311.354736328125,44640600,0.0,0.0,311.354736328125
2026-03-02,302.83581985466094,308.0889612664211,300.908305641281,306.1215209960937,34790200,0.0,0.0,306.1215209960937
2026-03-03,298.2018299939976,303.5448811012492,296.3242691134317,303.1853332519531,35497000,0.0,0.0,303.1853332519531
2026-03-04,302.49628364637806,305.07291645770977,300.3590508331652,302.7359619140625,29536200,0.0,0.0,302.7359619140625
2026-03-05,302.6460874794852,302.90572878105803,297.60263367704704,300.4888916015625,35752300,0.0,0.0,300.4888916015625
2026-03-06,295.7050936872067,300.1393243405422,294.7962729857715,298.1319274902344,25576900,0.0,0.0,298.1319274902344
2026-03-09,294.1842573074437,306.6168332730834,293.9044256827884,306.1770935058594,29312100,0.21,0.0,306.1770935058594
2026-03-10,305.98724420005084,309.3252467158022,305.3875962722132,306.8567199707031,23239700,0.0,0.0,306.8567199707031
2026-03-11,306.56689883882945,311.2341247037885,305.7374076911934,308.5157470703125,24125700,0.0,0.0,308.5157470703125
2026-03-12,306.636841807898,308.7555713296518,300.8502897843219,303.3687744140625,24928300,0.0,0.0,303.3687744140625
2026-03-13,306.8267356773544,307.50632242162294,300.26065041451466,302.0995483398437,23693100,0.0,0.0,302.0995483398437
2026-03-16,304.16832484157635,306.3070315122431,302.8391017033621,305.3775939941406,23519700,0.0,0.0,305.3775939941406
2026-03-17,305.6773980936512,311.2341070358109,305.3176276402165,310.7344055175781,21955200,0.0,0.0,310.7344055175781
2026-03-18,309.0853604878573,312.2834623461404,306.74676108497374,307.5063171386719,20009800,0.0,0.0,307.5063171386719
2026-03-19,303.8285227221892,307.8760927647981,302.16951004441273,306.9466552734375,25075800,0.0,0.0,306.9466552734375
2026-03-20,305.2776414809433,305.8173276578073,298.0919312440676,300.8203125,44364100,0.0,0.0,300.8203125
2026-03-23,301.92965766257777,305.7973733016039,300.75036931754545,301.87969970703125,29326900,0.0,0.0,301.87969970703125
2026-03-24,299.02141279307426,299.7409842283802,290.1566818819568,290.2666320800781,36864300,0.0,0.0,290.2666320800781
2026-03-25,293.2648285118823,295.8232978370104,289.0673235725591,290.7563171386719,29460700,0.0,0.0,290.7563171386719
2026-03-26,287.7381369232671,287.7781215852462,278.33375052565475,280.7523193359375,39080600,0.0,0.0,280.7523193359375
2026-03-27,277.1144865271076,279.203235317384,273.7864876697142,274.1762390136719,35890600,0.0,0.0,274.1762390136719
2026-03-30,276.2550012483934,276.9245842043685,271.9475460941929,273.33673095703125,35141200,0.0,0.0,273.33673095703125
2026-03-31,277.87403020607053,287.9080147834651,276.9245851168754,287.3883361816406,43875400,0.0,0.0,287.3883361816406
2026-04-01,290.6663854824321,300.34059988895723,290.2366494817892,297.2124938964844,37684500,0.0,0.0,297.2124938964844
